mcmc,evo,aco
70,50,83
63,50,50
70,50,55.6
63,31,61.1
63,63,83
75,63,13.9
63,31,66.7
75,63,19.4
63,55.5,58.3
63,55.5,83
63,13.15,83
63,33.11,50
63,55.5,50
75,55.5,50
75,63,58.3
70,63,83
70,31,83
87,31,50
63,63,50
63,63,75
87,63,75
87,63,50
87,63,55.6
75,63,61.1
87,63,83
63,63,13.9
87,63,66.7
87,63,22
87,63,63
50,19.4,75
92,19.4,63
92,8.3,22
87,8.3,22
87,8.3,22
66.7,8.3,22
92,8.3,63
92,19.4,55.5
92,19.4,55.5
92,50,63
55.6,58.3,63
92,19.4,63
61.1,8.3,75
19.4,8.3,75
63.9,50,33.11
13.9,50,33.11
92,50,83
50,58.3,63
87,50,63
66.7,50,75
92,50,75
8.3,50,75
61.1,50,83
47.2,50,83
63.9,50,83
58.3,50,55.5
87,50,63
87,50,83
87,50,83
