PUT,mcmc-evo,mcmc-aco
armstrong,2.7544796466827393e-05,0.0007921457290649414
gcd,1.862645149230957e-09,1.862645149230957e-09
mpmath,1.3052302143462177e-08,0.0036314863074803304
bisection,7.450580596923828e-09,0.05638675391674042
reminder,2.45657976494062e-05,0.0011985879508730095
decimaltoany,2.1148473024368286e-05,4.13358211517334e-05
scipy,0.00014200361331489258,0.0002467743135508182
gammaq,6.286613643169403e-05,0.8078304156661034
expint,6.321734500157021e-06,0.39331144585544453
TT1,1.3966113328933716e-05,8.856505155563354e-05
