
#p |program   | bug line |correct                            |    fault                       | path_priority |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
1  |armstrong | 13       |rem = temp % 10                    |rem = temp - 10                 |       x       |            
---|----------|----------|-----------------------------------|--------------------------------|---------------|
2  |bisection | 6        |c = (a + b) / 2                    |c = (a - b) / 2                 |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
3  |dectoany  | 25       |new_value += div                   |new_value -= div                |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
4  |reminder  | 16       |ny = ny + b                        |ny = ny - b                     |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
5  |expint    | 17       |b = x + n                          |b = x - n                       |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
6  |gammaq    | 15       |total = 1.0 / a                    |total = 1.0 % a                 |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
7  |gcd       | 3        |small = y                          |small = x                       |       x       |
---|----------|----------|-----------------------------------|--------------------------------|---------------|
8  |TT1       | 2	     |y == z                             |y != z                          |       x       |      
--------------------------------------------------------------------------------------------------------------|
